#{"t_start": 1600182218.320713, "env_id": null}
r,l,t
4.0,89,3786.792727
5.0,105,3792.839939
3.0,79,3797.429167
7.0,151,3806.124253
0.0,88,3811.170756
4.0,88,3816.269338
5.0,108,3822.499252
7.0,143,3830.730481
3.0,135,3838.520535
6.0,107,3844.683046
3.0,75,3848.999763
2.0,70,3853.047692
2.0,71,3857.145643
5.0,104,3863.136371
5.0,109,3869.444967
2.0,74,3873.696457
4.0,97,3879.322099
3.0,102,3885.225873
3.0,101,3891.0635
4.0,124,3898.253143
4.0,77,3902.6919
2.0,68,3906.632511
6.0,128,3914.029238
6.0,174,3924.075506
5.0,76,3928.474295
4.0,78,3932.948765
4.0,135,3940.761079
2.0,63,3944.398723
2.0,68,3948.316903
5.0,110,3954.669222
5.0,90,3959.871644
4.0,77,3964.317795
5.0,75,3968.654421
3.0,70,3972.700105
9.0,236,3986.326904
4.0,76,3990.722133
4.0,104,3996.763711
5.0,146,4005.167146
5.0,124,4012.340031
5.0,102,4018.231341
2.0,66,4022.046406
2.0,69,4026.035292
3.0,71,4030.130335
4.0,75,4034.411926
3.0,133,4042.09536
4.0,132,4049.735621
5.0,86,4054.722086
3.0,91,4059.981408
4.0,124,4067.164649
5.0,126,4074.428832
3.0,76,4078.828178
3.0,108,4085.079988
6.0,144,4093.395403
10.0,198,4104.81126
5.0,113,4111.27945
3.0,60,4114.757243
4.0,75,4119.089305
4.0,107,4125.271448
2.0,71,4129.380662
2.0,68,4133.288664
5.0,108,4139.508079
9.0,195,4150.752734
4.0,83,4155.558099
5.0,110,4161.911757
5.0,76,4166.318853
8.0,145,4174.692458
5.0,126,4181.918367
4.0,124,4189.05871
4.0,77,4193.492277
5.0,79,4198.06139
4.0,109,4204.601648
1.0,63,4208.239671
5.0,224,4221.191557
5.0,90,4226.390688
1.0,61,4229.923797
4.0,125,4237.168637
1.0,67,4241.019607
2.0,74,4245.269965
3.0,72,4249.420589
5.0,84,4254.268287
3.0,80,4258.901155
5.0,90,4264.120244
