#{"t_start": 1600111101.9033527, "env_id": null}
r,l,t
4.0,68,1976.022314
4.0,68,1979.250015
4.0,78,1979.964426
4.0,77,1983.308932
6.0,101,1986.836378
6.0,102,1987.78495
6.0,101,1991.340271
4.0,68,1994.549994
5.0,101,1998.079535
4.0,80,1998.821842
3.0,68,2002.036376
3.0,69,2002.68667
6.0,101,2006.237483
4.0,68,2009.494698
4.0,81,2010.243651
6.0,109,2013.853706
3.0,77,2017.151921
6.0,107,2020.753139
3.0,68,2021.377574
2.0,60,2024.530362
6.0,101,2025.442565
15.0,280,2033.22465
3.0,69,2036.496787
6.0,101,2040.013767
4.0,77,2040.70195
5.0,103,2044.25338
7.0,129,2048.047019
2.0,60,2051.200708
4.0,85,2051.97848
4.0,77,2055.290832
6.0,103,2058.844102
6.0,101,2062.34759
3.0,69,2062.968991
3.0,60,2066.127033
6.0,103,2067.056846
3.0,63,2070.229956
3.0,69,2070.849327
3.0,63,2074.031465
3.0,62,2074.610721
6.0,101,2078.12692
6.0,104,2081.690261
10.0,230,2089.034759
4.0,78,2089.748404
4.0,76,2093.054497
4.0,82,2096.445358
6.0,101,2097.377782
4.0,101,2100.900119
6.0,104,2104.477907
3.0,62,2105.063137
8.0,150,2111.895913
3.0,63,2112.489906
6.0,101,2116.054667
6.0,101,2119.619651
3.0,62,2120.213602
3.0,68,2123.486808
6.0,109,2127.116646
4.0,76,2127.823438
4.0,68,2131.057025
4.0,103,2134.664143
3.0,89,2135.519128
6.0,101,2139.123535
6.0,102,2142.698919
4.0,101,2146.260004
4.0,75,2146.974279
4.0,69,2150.275234
3.0,77,2151.001332
4.0,69,2154.319439
3.0,83,2157.751137
2.0,70,2158.387581
5.0,101,2161.976897
5.0,107,2165.62373
8.0,149,2169.65114
4.0,68,2170.26465
3.0,62,2173.506715
5.0,107,2177.119396
4.0,69,2177.754869
3.0,63,2180.979541
3.0,68,2181.625705
5.0,101,2185.20279
6.0,109,2188.898233
5.0,101,2192.474603
1.0,63,2193.091673
2.0,62,2196.300534
2.0,69,2196.952532
5.0,111,2200.654037
5.0,105,2204.312344
4.0,68,2204.951748
15.0,265,2212.742639
8.0,151,2219.555119
16.0,270,2227.368069
4.0,69,2227.994478
10.0,228,2235.327217
16.0,469,2250.076817
6.0,124,2253.833136
3.0,71,2254.472572
6.0,124,2258.225897
6.0,123,2261.999577
8.0,141,2266.059289
2.0,68,2269.313981
3.0,68,2269.93028
4.0,69,2273.178531
4.0,108,2276.773842
3.0,99,2280.314721
8.0,142,2284.227675
12.0,223,2288.93748
13.0,268,2296.659564
4.0,68,2299.879707
3.0,69,2303.168153
3.0,68,2303.797797
6.0,107,2307.391095
13.0,237,2315.30005
6.0,104,2318.867661
5.0,101,2319.794368
6.0,124,2323.563562
5.0,101,2327.09835
6.0,107,2330.688912
6.0,107,2334.279745
6.0,111,2337.905975
5.0,109,2341.533951
6.0,107,2342.521241
6.0,101,2346.08697
14.0,238,2353.556142
6.0,110,2357.18537
5.0,123,2360.905891
6.0,112,2364.531993
6.0,110,2368.137659
5.0,131,2371.95504
4.0,124,2375.737534
5.0,108,2376.721946
5.0,101,2380.257724
5.0,111,2383.887043
6.0,109,2387.506867
3.0,68,2388.117943
6.0,101,2391.659126
6.0,101,2395.202305
6.0,101,2398.728029
5.0,112,2402.392405
4.0,106,2405.990822
3.0,60,2406.527477
6.0,101,2410.069405
2.0,63,2410.641867
5.0,111,2414.282509
6.0,101,2417.923009
6.0,112,2421.664516
6.0,101,2425.199105
5.0,109,2426.20645
3.0,63,2429.399118
6.0,101,2432.9714
5.0,110,2437.198852
3.0,62,2437.9025
4.0,69,2441.827332
6.0,112,2443.067975
6.0,101,2447.493618
6.0,101,2452.128896
4.0,68,2455.937029
6.0,112,2457.093688
6.0,112,2461.168356
6.0,101,2464.947269
6.0,101,2468.475558
4.0,102,2472.032967
6.0,101,2472.952715
6.0,101,2476.499574
6.0,101,2480.054863
5.0,110,2483.725679
6.0,110,2487.421076
6.0,112,2491.081548
6.0,131,2494.903094
6.0,101,2495.833131
6.0,102,2499.405632
6.0,112,2503.047391
5.0,114,2506.710594
5.0,113,2510.365383
6.0,107,2513.963333
6.0,123,2517.682335
6.0,111,2521.301205
6.0,111,2522.314246
8.0,141,2528.884941
6.0,124,2532.679888
6.0,111,2533.717741
5.0,106,2537.344557
5.0,108,2541.010402
8.0,142,2544.943588
5.0,108,2548.566088
6.0,108,2552.182285
4.0,95,2555.702454
4.0,101,2556.641467
6.0,103,2560.229385
7.0,211,2567.491349
6.0,107,2571.110632
13.0,254,2578.773013
12.0,222,2583.535621
12.0,247,2591.133047
4.0,103,2594.721415
3.0,126,2598.51445
6.0,107,2602.145751
7.0,124,2605.97925
3.0,60,2606.539849
5.0,112,2610.255273
5.0,107,2613.91049
6.0,108,2617.549301
6.0,107,2621.218199
6.0,124,2625.011433
5.0,132,2628.907348
6.0,108,2632.577225
6.0,110,2633.616788
6.0,107,2637.26355
5.0,102,2640.843565
6.0,111,2644.505944
4.0,95,2648.051799
6.0,102,2651.675698
5.0,101,2652.629812
6.0,101,2656.251145
4.0,101,2659.830578
6.0,132,2663.705011
5.0,107,2667.287459
6.0,109,2670.874304
6.0,101,2671.789685
8.0,141,2678.310058
6.0,101,2679.22246
6.0,110,2682.844211
6.0,107,2686.436093
4.0,101,2689.968443
6.0,108,2693.552771
6.0,107,2694.527973
6.0,101,2698.054308
3.0,60,2701.214543
4.0,97,2702.094994
6.0,101,2705.652592
6.0,101,2709.200979
6.0,101,2712.746044
6.0,102,2716.267629
2.0,60,2716.812532
6.0,102,2720.352066
6.0,102,2723.915015
6.0,101,2724.883915
6.0,101,2728.489603
6.0,101,2732.051011
6.0,101,2735.590276
6.0,101,2739.116596
6.0,101,2740.044328
5.0,101,2743.553044
6.0,109,2747.133917
6.0,108,2750.730696
6.0,101,2754.249511
3.0,102,2757.812092
5.0,101,2758.745681
5.0,101,2762.304433
5.0,107,2765.915589
6.0,101,2769.438256
6.0,101,2770.366971
5.0,132,2776.755932
6.0,101,2777.668597
6.0,101,2781.207187
6.0,101,2784.770759
6.0,101,2788.293222
6.0,101,2789.218738
5.0,101,2792.76541
6.0,101,2796.276129
5.0,101,2799.801918
6.0,102,2803.316265
6.0,101,2804.241747
5.0,101,2807.768191
6.0,101,2811.284408
6.0,101,2814.843613
6.0,101,2818.366158
6.0,101,2819.289335
6.0,107,2822.867024
6.0,107,2826.46921
6.0,102,2830.037673
6.0,125,2833.755717
6.0,126,2837.529661
2.0,60,2838.075933
6.0,108,2841.68116
1.0,67,2844.874284
6.0,103,2845.817384
6.0,123,2849.521956
2.0,69,2852.74001
6.0,107,2856.325357
6.0,109,2859.914521
6.0,107,2860.899671
6.0,108,2864.466099
4.0,96,2867.972558
6.0,104,2871.538395
6.0,131,2875.315622
6.0,102,2878.829406
6.0,101,2879.755754
6.0,131,2886.22303
4.0,126,2887.406339
6.0,101,2890.980593
6.0,103,2894.523288
6.0,101,2898.033976
6.0,101,2901.550642
6.0,101,2902.474546
4.0,96,2905.945989
6.0,101,2909.504084
6.0,101,2913.037019
5.0,101,2916.585053
6.0,126,2920.352058
6.0,101,2921.278042
6.0,101,2925.280507
6.0,101,2928.802487
3.0,61,2929.3467
6.0,104,2932.920315
6.0,101,2936.451636
6.0,103,2940.014032
4.0,93,2943.474762
6.0,131,2947.275974
6.0,125,2951.042661
6.0,126,2954.808617
4.0,94,2955.651683
6.0,124,2959.389622
6.0,101,2962.911447
6.0,101,2966.486677
5.0,107,2970.122071
6.0,103,2971.080369
6.0,101,2974.659538
6.0,103,2978.227006
4.0,101,2981.797027
6.0,112,2985.459662
6.0,104,2989.037819
6.0,101,2989.978889
6.0,102,2993.560199
6.0,101,2997.125647
6.0,101,3000.672325
3.0,61,3001.246984
4.0,93,3004.742547
